----------TEST-1------------
C0= 343901
C1099 = 439588
C1100 = 572056
C1101 = 38875
C1102 = 675165
C1103 = 631671
C1104 = 62922
C1105 = 673483
C1106 = 238900
C1107 = 524850
C1108 = 485228
C1109 = 124298
C1110 = 580122
C1111 = 550911
C1112 = 295411
C1113 = 400159
C1114 = 435348
C1115 = 360782
C1116 = 56748
C1117 = 216094
C1118 = 268599
C1119 = 33472
C1120 = 358088
C1121 = 666319
C1122 = 64950
C1123 = 437645
C1124 = 443285
C1125 = 612777
C1126 = 180027
C1127 = 383513
C1128 = 333482
C1129 = 86433
C1130 = 67446
C1131 = 599273
C1132 = 615668
C1133 = 376994
C1134 = 406534
C1135 = 299780
C1136 = 608847
C1137 = 515260
C1138 = 243291
C1139 = 420159
C1140 = 344955
C1141 = 303377
C1142 = 554435
C1143 = 448027
C1144 = 472620
C1145 = 300732
C1146 = 101424
C1147 = 460851
C1148 = 54798
C1149 = 269262
C1150 = 75724
C1151 = 180908
C1152 = 378675
C1153 = 478573
C1154 = 497213
C1155 = 354099
C1156 = 70926
C1157 = 290458
C1158 = 220606
C1159 = 286059
C1160 = 340777
C1161 = 69255
C1162 = 372404
C1163 = 200724
C1164 = 677769
C1165 = 257832
C1166 = 338332
C1167 = 543312
C1168 = 381617
C1169 = 295597
C1170 = 221557
C1171 = 435545
C1172 = 278163
C1173 = 127822
C1174 = 296577
C1175 = 43292
C1176 = 226775
C1177 = 296708
C1178 = 40150
C1179 = 299097
C1180 = 669260
C1181 = 112460
C1182 = 464042
C1183 = 628935
C1184 = 89918
C1185 = 553930
C1186 = 101836
C1187 = 14732
C1188 = 41269
C1189 = 3075
C1190 = 357096
C1191 = 660339
C1192 = 500719
C1193 = 627326
C1194 = 656899
C1195 = 604411
C1196 = 524320
C1197 = 607877
C1198 = 424812
C1199 = 271909
C1200 = 444330
C1201 = 496996
C1202 = 323292
C1203 = 259977
C1204 = 378090
C1205 = 36066
C1206 = 265964
C1207 = 147223
C1208 = 305061
C1209 = 95991
C1210 = 20014
C1211 = 442403
C1212 = 496605
C1213 = 387401
C1214 = 365699
C1215 = 371400
C1216 = 523416
C1217 = 141270
C1218 = 203384
C1219 = 283713
C1220 = 540737
C1221 = 7132
C1222 = 167858
C1223 = 456702
C1224 = 240544
C1225 = 172803
C1226 = 537517
C1227 = 149588
C1228 = 272009
C1229 = 650625
C1230 = 458058
C1231 = 550428
C1232 = 387994
C1233 = 210907
C1234 = 532356
C1235 = 296386
C1236 = 601684
C1237 = 641311
C1238 = 70260
C1239 = 415222
C1240 = 127939
C1241 = 244700
C1242 = 189520
C1243 = 632663
C1244 = 333796
C1245 = 562957
C1246 = 157923
C1247 = 76040
C1248 = 164554
C1249 = 390283
C1250 = 552214
C1251 = 373127
C1252 = 555486
C1253 = 548586
C1254 = 412624
C1255 = 658952
